Interactor A Gene Symbol,Interactor B Gene Symbol,Interactor A Uniprot AC,Interactor B Uniprot AC
CXCR2,RAB11FIP2,P25025,Q7L804
CXCR2,CXCR2,P25025,P25025
CXCR2,MYO5B,P25025,Q9ULV0
CXCR2,CXCL8,P25025,P10145
FAP,DPP4,Q12884,P27487
FAP,ADA,Q12884,P00813
FAP,THY1,Q12884,P04216
FOS,ATF4,P01100,P18848
FOS,VDR,P01100,P11473
FOS,NCOA2,P01100,Q15596
FOS,APP,P01100,P05067
FOS,ATF7,P01100,P17544
FOS,CEBPA,P01100,P49715
FOS,TAF1,P01100,P21675
FOS,USF2,P01100,Q15853
FOS,CEBPE,P01100,Q15744
FOS,MAFB,P01100,Q9Y5Q3
FOS,ATF2,P01100,P15336
FOS,CREBBP,P01100,Q92793
FOS,EGFR,P01100,P00533
FOS,GTF2E2,P01100,P29084
FOS,GTF2F1,P01100,P35269
FOS,RUNX1,P01100,Q01196
FOS,NCOA1,P01100,Q15788
FOS,MAPK1,P01100,P28482
FOS,JUND,P01100,P17535
FOS,HNF1A,P01100,P20823
FOS,ETS2,P01100,P15036
FOS,PRKAA2,P01100,P54646
FOS,JUNB,P01100,P17275
FOS,DDIT3,P01100,P35638
FOS,SMARCE1,P01100,Q969G3
FOS,BCL3,P01100,P20749
FOS,FOSB,P01100,P53539
FOS,CSNK2A1,P01100,P68400
FOS,SMAD3,P01100,P84022
FOS,MAPK7,P01100,Q13164
FOS,CREB5,P01100,Q02930
FOS,MAPK9,P01100,P45984
FOS,PSMC5,P01100,P62195
FOS,CEBPG,P01100,P53567
FOS,STAT1,P01100,P42224
FOS,FOS,P01100,P01100
IFIH1,NLRC5,Q9BYX4,Q86WI3
IFIH1,MAVS,Q9BYX4,Q7Z434
IFIH1,PCBP2,Q9BYX4,Q15366
IL23R,IL12RB1,Q5VWK5,P42701
IL27,EBI3,Q8NEV9,Q14213
KEAP1,PTMA,Q14145,P06454
KEAP1,KEAP1,Q14145,Q14145
KEAP1,MYO7A,Q14145,Q13402
KEAP1,CUL3,Q14145,Q13618
KEAP1,GABARAPL1,Q14145,Q9H0R8
KEAP1,NEIL2,Q14145,Q969S2
KEAP1,MAP1LC3B,Q14145,Q9GZQ8
KEAP1,TMEM160,Q14145,Q9NX00
KEAP1,SQSTM1,Q14145,Q13501
KEAP1,GABARAPL2,Q14145,P60520
NFKB1,BIRC3,P19838,Q13489
NFKB1,TNIP1,P19838,Q15025
NFKB1,IRF8,P19838,Q02556
NFKB1,REL,P19838,Q04864
NFKB1,PPP4C,P19838,P60510
NFKB1,HDAC5,P19838,Q9UQL6
NFKB1,PELP1,P19838,Q8IZL8
NFKB1,DPF2,P19838,Q92785
NFKB1,COPB2,P19838,P35606
NFKB1,POLR2A,P19838,P24928
NFKB1,NCOA1,P19838,Q15788
NFKB1,ANXA4,P19838,P09525
NFKB1,BCL3,P19838,P20749
NFKB1,ITGB3BP,P19838,Q13352
NFKB1,VCP,P19838,P55072
NFKB1,HSPA4,P19838,P34932
NFKB1,TP63,P19838,Q9H3D4
NFKB1,NOTCH1,P19838,P46531
NFKB1,MXD3,P19838,Q9BW11
NFKB1,STAT5A,P19838,P42229
NFKB1,NR4A1,P19838,P22736
NFKB1,IKBKG,P19838,Q9Y6K9
NFKB1,FBXW11,P19838,Q9UKB1
NFKB1,LYL1,P19838,P12980
NFKB1,HMGA2,P19838,P52926
NFKB1,UNC5CL,P19838,Q8IV45
NFKB1,NR3C1,P19838,P04150
NFKB1,NFKBIZ,P19838,Q9BYH8
NFKB1,SRF,P19838,P11831
NFKB1,NFKBIB,P19838,Q15653
NFKB1,TBK1,P19838,Q9UHD2
NFKB1,NFKB1,P19838,P19838
NFKB1,GSK3B,P19838,P49841
NFKB1,COMMD1,P19838,Q8N668
NFKB1,PPARG,P19838,P37231
NFKB1,PLD3,P19838,Q8IV08
OSMR,OSM,Q99650,P13725
PTPN2,GHR,P17706,P10912
PTPN2,PTPN6,P17706,P29350
PTPN2,KPNA1,P17706,P52294
PTPN2,PSMD2,P17706,Q13200
RPS6KB1,RPS6KB1,P23443,P23443
RPS6KB1,RPTOR,P23443,Q8N122
RPS6KB1,RHEB,P23443,Q15382
RPS6KB1,TRAF4,P23443,Q9BUZ4
RPS6KB1,PDK1,P23443,Q15118
RPS6KB1,PPP2R2A,P23443,P63151
RPS6KB1,DEPTOR,P23443,Q8TB45
RPS6KB1,EIF3H,P23443,O15372
RPS6KB1,EIF3B,P23443,P55884
RPS6KB1,TRIB2,P23443,Q92519
RPS6KB1,RICTOR,P23443,Q6R327
RPS6KB1,EIF3F,P23443,O00303
TYK2,CBL,P29597,P22681
TYK2,GHR,P29597,P10912
TYK2,STAM2,P29597,O75886
TYK2,XRCC5,P29597,P13010
TYK2,IRS2,P29597,Q9Y4H2
TYK2,VAV1,P29597,P15498
TYK2,STAT1,P29597,P42224
TYK2,IFNAR1,P29597,P17181
TYK2,PTPN1,P29597,P18031
TYK2,JAK3,P29597,P52333
TYK2,CRKL,P29597,P46109
TYK2,PTPN6,P29597,P29350
TYK2,SOCS1,P29597,O15524
TYK2,LYN,P29597,P07948
TYK2,ELP2,P29597,Q6IA86
TYK2,JAK1,P29597,P23458
TYK2,IL6ST,P29597,P40189
TYK2,PLAUR,P29597,Q03405
